Edizione,Anno,Data,Telespettatori,Share
45,1995,1995-02-21,15602000,0.6514
45,1995,1995-02-22,18389000,0.6542
45,1995,1995-02-23,15825000,0.6047
45,1995,1995-02-24,16804000,0.6581
45,1995,1995-02-25,17601000,0.7522
46,1996,1996-02-20,11268000,0.5331
46,1996,1996-02-21,12981000,0.4813
46,1996,1996-02-22,12557000,0.4695
46,1996,1996-02-23,13003000,0.5394
46,1996,1996-02-24,13862000,0.6286
47,1997,1997-02-18,13140000,0.5874
47,1997,1997-02-19,13626000,0.5236
47,1997,1997-02-20,13997000,0.5555
47,1997,1997-02-21,13382000,0.5563
47,1997,1997-02-22,15562000,0.6829
48,1998,1998-02-24,11083000,0.5447
48,1998,1998-02-25,12788000,0.4654
48,1998,1998-02-26,13006000,0.4827
48,1998,1998-02-27,12742000,0.496
48,1998,1998-02-28,15067000,0.627
49,1999,1999-02-23,16234000,0.5675
49,1999,1999-02-24,13755000,0.4937
49,1999,1999-02-25,14167000,0.5394
49,1999,1999-02-26,13639000,0.5406
49,1999,1999-02-27,15649000,0.6408
50,2000,2000-02-21,15907000,0.5718
50,2000,2000-02-22,13171000,0.516
50,2000,2000-02-24,11888000,0.473
50,2000,2000-02-25,11786000,0.4982
50,2000,2000-02-26,15223000,0.6545
51,2001,2001-02-26,12160000,0.5198
51,2001,2001-02-27,10298000,0.4385
51,2001,2001-03-01,10145000,0.4301
51,2001,2001-03-02,10010000,0.4301
51,2001,2001-03-03,12998000,0.5725
52,2002,2002-03-05,12461000,0.5622
52,2002,2002-03-06,10397000,0.4723
52,2002,2002-03-07,10382000,0.4856
52,2002,2002-03-08,9758000,0.5034
52,2002,2002-03-09,13397000,0.6266
53,2003,2003-03-04,9257000,0.4255
53,2003,2003-03-05,8842000,0.4039
53,2003,2003-03-06,8392000,0.3719
53,2003,2003-03-07,7813000,0.3823
53,2003,2003-03-08,9828000,0.5412
54,2004,2004-03-02,10104000,0.4248
54,2004,2004-03-03,8402000,0.3374
54,2004,2004-03-04,6961000,0.2928
54,2004,2004-03-05,9742000,0.4069
54,2004,2004-03-06,9527000,0.4857
55,2005,2005-03-01,12218000,0.5478
55,2005,2005-03-02,11185000,0.528
55,2005,2005-03-03,11560000,0.5105
55,2005,2005-03-04,10387000,0.5018
55,2005,2005-03-05,13606000,0.5508
56,2006,2006-02-27,9141000,0.4445
56,2006,2006-02-28,8235000,0.3733
56,2006,2006-03-02,6234000,0.3349
56,2006,2006-03-03,8267000,0.3674
56,2006,2006-03-04,9523000,0.4823
57,2007,2007-02-27,9760000,0.4544
57,2007,2007-02-28,8973000,0.4705
57,2007,2007-03-01,8945000,0.4358
57,2007,2007-03-02,8682000,0.4818
57,2007,2007-03-03,12309000,0.5532
58,2008,2008-02-25,7680000,0.3646
58,2008,2008-02-26,6500000,0.3233
58,2008,2008-02-28,6152000,0.322
58,2008,2008-02-29,5305000,0.3228
58,2008,2008-03-01,9600000,0.449
59,2009,2009-02-17,10114000,0.4793
59,2009,2009-02-18,9856000,0.4264
59,2009,2009-02-19,9238000,0.4716
59,2009,2009-02-20,10219000,0.4747
59,2009,2009-02-21,12309000,0.5425
60,2010,2010-02-16,10718000,0.4529
60,2010,2010-02-17,10163000,0.4388
60,2010,2010-02-18,10005000,0.4602
60,2010,2010-02-19,11274000,0.5074
60,2010,2010-02-20,12462000,0.5321
61,2011,2011-02-15,11992000,0.4632
61,2011,2011-02-16,10145000,0.4267
61,2011,2011-02-17,12363000,0.5089
61,2011,2011-02-18,10617000,0.4691
61,2011,2011-02-19,12136000,0.5212
62,2012,2012-02-14,12764000,0.4969
62,2012,2012-02-15,9199000,0.3926
62,2012,2012-02-16,10537000,0.4784
62,2012,2012-02-17,9931000,0.4191
62,2012,2012-02-18,13287000,0.5743
63,2013,2013-02-12,12969000,0.482
63,2013,2013-02-13,11330000,0.4289
63,2013,2013-02-14,10709000,0.4248
63,2013,2013-02-15,11538000,0.4817
63,2013,2013-02-16,12997000,0.538
64,2014,2014-02-18,10938000,0.4593
64,2014,2014-02-19,7711000,0.3395
64,2014,2014-02-20,7673000,0.3494
64,2014,2014-02-21,8188000,0.3797
64,2014,2014-02-22,9348000,0.4351
65,2015,2015-02-10,11767000,0.4934
65,2015,2015-02-11,10091000,0.417
65,2015,2015-02-12,10586000,0.4951
65,2015,2015-02-13,9857000,0.4782
65,2015,2015-02-14,11843000,0.5421
66,2016,2016-02-09,11134000,0.4948
66,2016,2016-02-10,10748000,0.4991
66,2016,2016-02-11,10462000,0.4788
66,2016,2016-02-12,10164000,0.4781
66,2016,2016-02-13,11222000,0.5252
67,2017,2017-02-07,11374000,0.5037
67,2017,2017-02-08,10367000,0.466
67,2017,2017-02-09,10420000,0.497
67,2017,2017-02-10,9886000,0.4705
67,2017,2017-02-11,12022000,0.584
68,2018,2018-02-06,11603000,0.521
68,2018,2018-02-07,9687000,0.477
68,2018,2018-02-08,10825000,0.516
68,2018,2018-02-09,10108000,0.511
68,2018,2018-02-10,12125000,0.583
69,2019,2019-02-05,10086000,0.495
69,2019,2019-02-06,9144000,0.473
69,2019,2019-02-07,9409000,0.467
69,2019,2019-02-08,9552000,0.461
69,2019,2019-02-09,10622000,0.565
70,2020,2020-02-04,10058000,0.522
70,2020,2020-02-05,9693000,0.533
70,2020,2020-02-06,9836000,0.545
70,2020,2020-02-07,9504000,0.533
70,2020,2020-02-08,11477000,0.606
71,2021,2021-03-02,8363000,0.466
71,2021,2021-03-03,7586000,0.421
71,2021,2021-03-04,7653000,0.443
71,2021,2021-03-05,8014000,0.447
71,2021,2021-03-06,10715000,0.535
72,2022,2022-02-01,10911000,0.547
72,2022,2022-02-02,11320000,0.558
72,2022,2022-02-03,9360000,0.541
72,2022,2022-02-04,11378000,0.605
72,2022,2022-02-05,13380000,0.649
73,2023,2023-02-07,10757000,0.624
73,2023,2023-02-08,10545000,0.623
73,2023,2023-02-09,9240000,0.576
73,2023,2023-02-10,11121000,0.665
73,2023,2023-02-11,12256000,0.6604
74,2024,2024-02-06,10561000,0.651
74,2024,2024-02-07,10361000,0.601
74,2024,2024-02-08,10001000,0.601
74,2024,2024-02-09,11893000,0.678
74,2024,2024-02-10,14301000,0.741
75,2025,2025-02-11,12218000,0.65
75,2025,2025-02-12,11410000,0.641
75,2025,2025-02-13,10404000,0.597
75,2025,2025-02-14,13187000,0.704
75,2025,2025-02-15,13016000,0.727
